alt-low                     alt-high                    press                       temp                        O3                          H2O                         CO2                         CH4                         O2                          CO                          N2                          
4.300000000000000e+01       4.350000000000000e+01       1.912054791104872e-03       2.000000000000000e+02       4.804827700665600e-06       5.679099874978337e-06       3.608359899656923e-04       2.411699286921193e-07       2.098818101469589e-01       9.967012729312571e-09       7.897466187985583e-01       
4.350000000000000e+01       4.400000000000000e+01       1.792168463978039e-03       2.000000000000000e+02       4.663860137654690e-06       5.711379457302849e-06       3.608246224869094e-04       2.282066246707409e-07       2.098788174509211e-01       9.777818753516169e-09       7.897497447025535e-01       
4.400000000000000e+01       4.450000000000000e+01       1.680391692912653e-03       2.000000000000000e+02       4.523138838956584e-06       5.741390670713662e-06       3.608121574501263e-04       2.161490923689978e-07       2.098758033844359e-01       9.603931599675693e-09       7.897528941755804e-01       
4.450000000000000e+01       4.500000000000000e+01       1.576136342196375e-03       2.000000000000000e+02       4.381569551898826e-06       5.769403316491083e-06       3.607985182215590e-04       2.048814108434108e-07       2.098727442791046e-01       9.444661821788188e-09       7.897560919037327e-01       
4.500000000000000e+01       4.550000000000000e+01       1.478859765560852e-03       2.000000000000000e+02       4.237690599874224e-06       5.795783185735131e-06       3.607835316381713e-04       1.942493989450147e-07       2.098695993269186e-01       9.298047047794964e-09       7.897593801202116e-01       
4.550000000000000e+01       4.600000000000000e+01       1.388061060154841e-03       2.000000000000000e+02       4.091847500881060e-06       5.820344022158912e-06       3.607673108015157e-04       1.843214245073160e-07       2.098663916995176e-01       9.164676773429047e-09       7.897627353120567e-01       
4.600000000000000e+01       4.650000000000000e+01       1.303277669728104e-03       2.000000000000000e+02       3.945694249524058e-06       5.842735727107161e-06       3.607501676592750e-04       1.752337166144304e-07       2.098631772316474e-01       9.044882508404765e-09       7.897660998921177e-01       
4.650000000000000e+01       4.700000000000000e+01       1.224082269886805e-03       2.000000000000000e+02       3.800762564342649e-06       5.863116281963881e-06       3.607321156288057e-04       1.669186155309550e-07       2.098599458522729e-01       8.934406200275768e-09       7.897694823002303e-01       
4.700000000000000e+01       4.750000000000000e+01       1.150079915894078e-03       2.000000000000000e+02       3.662242166449312e-06       5.881777787372282e-06       3.607130150716799e-04       1.592538118020474e-07       2.098566546098299e-01       8.826260335456787e-09       7.897729202750725e-01       
4.750000000000000e+01       4.800000000000000e+01       1.080819891707810e-03       2.000000000000000e+02       3.550233156602923e-06       5.898817244574238e-06       3.606928505916644e-04       1.521963990342224e-07       2.098532647539284e-01       8.712481457982004e-09       7.897764324361982e-01       
4.800000000000000e+01       4.850000000000000e+01       1.015821092071768e-03       2.000000000000000e+02       3.463603139788573e-06       5.914295723643294e-06       3.606716419491727e-04       1.457195524999547e-07       2.098497770737970e-01       8.593781879620782e-09       7.897800190720561e-01       
4.850000000000000e+01       4.900000000000000e+01       9.547404744063930e-04       2.000000000000000e+02       3.381311886873796e-06       5.928266414156775e-06       3.606494678831498e-04       1.398013751046117e-07       2.098462312644904e-01       8.478274166374922e-09       7.897836614096762e-01       
4.900000000000000e+01       4.950000000000000e+01       8.973412906400999e-04       2.000000000000000e+02       3.297886655862348e-06       5.940778237178097e-06       3.606264564408171e-04       1.344227665249253e-07       2.098426502411656e-01       8.371084592038431e-09       7.897873418436494e-01       
4.950000000000000e+01       5.000000000000000e+01       8.434011313520868e-04       2.000000000000000e+02       3.212182083799031e-06       5.951952210239449e-06       3.606026166565362e-04       1.295344472869477e-07       2.098390306166688e-01       8.274209306930717e-09       7.897910648237241e-01       
5.000000000000000e+01       5.050000000000000e+01       7.927110553402728e-04       2.000000000000000e+02       3.124486134282661e-06       5.961921821293916e-06       3.605778959362572e-04       1.250812616007391e-07       2.098353578228142e-01       8.187589161349346e-09       7.897948446044432e-01       
5.050000000000000e+01       5.100000000000000e+01       7.450747720630077e-04       2.000000000000000e+02       3.036127681300725e-06       5.970789395916996e-06       3.605522696321529e-04       1.210210324953940e-07       2.098316208665065e-01       8.109922395359319e-09       7.897986908158292e-01       
5.100000000000000e+01       5.150000000000000e+01       7.003078738468688e-04       2.000000000000000e+02       2.950659774544404e-06       5.978643878548400e-06       3.605257111515499e-04       1.173168329474865e-07       2.098278056254344e-01       8.038748803258676e-09       7.898026140041792e-01       
5.150000000000000e+01       5.200000000000000e+01       6.582111482066074e-04       2.000000000000000e+02       2.880377181950067e-06       5.985557254047970e-06       3.604981985912575e-04       1.139386381447111e-07       2.098238864045732e-01       7.970651140620589e-09       7.898066275531103e-01       
5.200000000000000e+01       5.250000000000000e+01       6.185284732730087e-04       2.000000000000000e+02       2.838825463955246e-06       5.991585662056416e-06       3.604697281590910e-04       1.108643248956210e-07       2.098198398143166e-01       7.904571158575302e-09       7.898107412775023e-01       
5.250000000000000e+01       5.300000000000000e+01       5.810583100093727e-04       2.000000000000000e+02       2.802035807222936e-06       5.996799024534248e-06       3.604402813142941e-04       1.080670303298887e-07       2.098156958008489e-01       7.846986530732592e-09       7.898149491689882e-01       
5.300000000000000e+01       5.350000000000000e+01       5.456874012651951e-04       2.000000000000000e+02       2.764188675409539e-06       6.001268232789544e-06       3.604098116612181e-04       1.055179613919361e-07       2.098114539781225e-01       7.802718680282306e-09       7.898192574326279e-01       
